CO2 (PPM), Latitude, Longitude, Altitude, Air Speed (m/s), Mode, Fixed Satellites, Available Satellites,voltage,current,level,id
395,44.3822137,-73.2584681,66.12,0.019999999553,STABILIZE,4,11,0.0,None,None,2016-09-28T17:37:11Z
394,44.3822134,-73.2584678,66.12,0.0299999993294,STABILIZE,4,11,0.0,None,None,2016-09-28T17:37:12Z
394,44.3822133,-73.2584676,66.13,0.0499999970198,STABILIZE,4,11,0.0,None,None,2016-09-28T17:37:12Z
394,44.3822137,-73.2584674,66.16,0.0799999982119,STABILIZE,4,11,0.0,None,None,2016-09-28T17:37:13Z
395,44.3822142,-73.2584674,66.19,0.00999999977648,GUIDED,4,11,0.0,None,None,2016-09-28T17:37:13Z
395,44.3822147,-73.2584677,66.21,0.0899999961257,GUIDED,4,11,0.0,None,None,2016-09-28T17:37:14Z
395,44.3822152,-73.2584679,66.29,0.0599999986589,GUIDED,4,11,0.0,None,None,2016-09-28T17:37:14Z
395,44.3822127,-73.2584689,66.45,0.889999985695,GUIDED,4,11,0.0,None,None,2016-09-28T17:37:15Z
396,44.3822046,-73.2584739,66.76,1.94999992847,GUIDED,4,11,0.0,None,None,2016-09-28T17:37:16Z
396,44.3822019,-73.2584791,67.01,0.849999964237,GUIDED,4,11,0.0,None,None,2016-09-28T17:37:16Z
396,44.382205,-73.2584799,67.16,0.659999966621,GUIDED,4,11,0.0,None,None,2016-09-28T17:37:17Z
396,44.3822089,-73.258475,67.2,1.05999994278,GUIDED,4,11,0.0,None,None,2016-09-28T17:37:17Z
398,44.3822114,-73.2584689,67.22,0.899999976158,GUIDED,4,11,0.0,None,None,2016-09-28T17:37:18Z
398,44.3822129,-73.2584656,67.26,0.569999992847,GUIDED,4,11,0.0,None,None,2016-09-28T17:37:18Z
398,44.3822147,-73.2584638,67.32,0.34999999404,GUIDED,4,10,0.0,None,None,2016-09-28T17:37:19Z
398,44.382216,-73.258462,67.34,0.42999997735,GUIDED,4,10,0.0,None,None,2016-09-28T17:37:19Z
398,44.3822171,-73.2584608,67.39,0.319999992847,GUIDED,4,10,0.0,None,None,2016-09-28T17:37:20Z
398,44.3822175,-73.2584605,67.34,0.119999997318,GUIDED,4,8,0.0,None,None,2016-09-28T17:37:20Z
398,44.3822164,-73.2584603,67.35,0.25,GUIDED,4,8,0.0,None,None,2016-09-28T17:37:21Z
399,44.3822151,-73.2584625,67.3,0.25,GUIDED,4,8,0.0,None,None,2016-09-28T17:37:21Z
399,44.3822146,-73.2584648,67.28,0.389999985695,GUIDED,4,8,0.0,None,None,2016-09-28T17:37:22Z
399,44.3822146,-73.2584659,67.29,0.229999989271,GUIDED,4,8,0.0,None,None,2016-09-28T17:37:23Z
399,44.3822149,-73.2584669,67.31,0.209999993443,GUIDED,4,8,0.0,None,None,2016-09-28T17:37:23Z
398,44.382214,-73.2584669,67.46,0.25,AUTO,4,8,0.0,None,None,2016-09-28T17:37:24Z
398,44.3822122,-73.2584664,67.84,0.280000001192,AUTO,4,8,0.0,None,None,2016-09-28T17:37:24Z
398,44.3822113,-73.258468,68.34,0.289999991655,AUTO,4,8,0.0,None,None,2016-09-28T17:37:25Z
398,44.3822109,-73.2584684,69.02,0.229999989271,AUTO,4,8,0.0,None,None,2016-09-28T17:37:25Z
399,44.3822114,-73.2584667,69.93,0.469999998808,AUTO,4,8,0.0,None,None,2016-09-28T17:37:26Z
399,44.3822122,-73.2584639,71.43,0.319999992847,AUTO,4,8,0.0,None,None,2016-09-28T17:37:26Z
399,44.3822121,-73.2584637,72.56,0.229999989271,AUTO,4,8,0.0,None,None,2016-09-28T17:37:27Z
399,44.3822124,-73.2584642,73.69,0.0999999940395,AUTO,4,8,0.0,None,None,2016-09-28T17:37:27Z
400,44.3822126,-73.2584639,74.81,0.070000000298,AUTO,4,8,0.0,None,None,2016-09-28T17:37:28Z
400,44.3822124,-73.2584637,75.94,0.310000002384,AUTO,4,9,0.0,None,None,2016-09-28T17:37:28Z
400,44.382211,-73.258464,77.73,0.299999982119,AUTO,4,9,0.0,None,None,2016-09-28T17:37:29Z
400,44.3822103,-73.2584636,78.92,0.070000000298,AUTO,4,9,0.0,None,None,2016-09-28T17:37:29Z
400,44.3822101,-73.2584628,80.06,0.269999980927,AUTO,4,9,0.0,None,None,2016-09-28T17:37:30Z
400,44.3822108,-73.2584615,81.17,0.269999980927,AUTO,4,9,0.0,None,None,2016-09-28T17:37:31Z
400,44.3822121,-73.2584607,82.28,0.449999988079,AUTO,4,9,0.0,None,None,2016-09-28T17:37:31Z
400,44.3822144,-73.2584602,83.97,0.399999976158,AUTO,4,10,0.0,None,None,2016-09-28T17:37:32Z
400,44.3822157,-73.2584611,85.08,0.319999992847,AUTO,4,10,0.0,None,None,2016-09-28T17:37:32Z
400,44.3822163,-73.2584623,86.18,0.280000001192,AUTO,4,10,0.0,None,None,2016-09-28T17:37:33Z
